date,id,name,y_items,y_actual_cost,total_list_size
01/10/2014,P84659,DR HUSSAIN'S PRACTICE,67,152.09,0
01/10/2014,Y02520,SIMPSON MEDICAL PRACTICE,22,113.45,4720
01/10/2014,P84605,FERNCLOUGH SURGERY,17,46.86,2154
01/10/2014,P84683,THE DOC'S SURGERY,57,167.92,6256
01/10/2014,P84677,DIDSBURY MEDICAL CENTRE- DR ASHWORTH,52,173.46,5574
01/10/2014,P84039,THE RANGE MEDICAL CENTRE,99,478.91,8228
01/10/2014,P84068,CHORLTON FAMILY PRACTICE,139,479.13,9847
01/10/2014,P84630,THE ARCH MEDICAL PRACTICE,181,702.18,12381
01/10/2014,P84623,ALEESHAN MEDICAL CENTRE,20,26.99,1297
01/10/2014,P84639,FALLOWFIELD MEDICAL CENTRE,33,125.46,2111
01/10/2014,P84669,CORNBROOK MEDICAL PRACTICE,157,602.66,9992
01/10/2014,P84035,BODEY MEDICAL CENTRE,269,879.9,16620
01/10/2014,P84072,THE ROBERT DARBISHIRE PRACTICE,325,1124.85,19985
01/10/2014,P84010,THE BORCHARDT MEDICAL CENTRE,188,616.5,11108
01/10/2014,P84005,THE VALLANCE CENTRE,123,478.84,7223
01/10/2014,P84038,ASHVILLE SURGERY,136,695.86,7899
01/10/2014,P84027,WEST POINT MEDICAL CENTRE,125,369.17,7247
01/10/2014,P84616,MANCHESTER MEDICAL,115,368.64,6529
01/10/2014,P84061,BROOKLANDS MEDICAL PRACTICE,99,286.39,5479
01/10/2014,P84650,THE ALEXANDRA PRACTICE,109,393.16,5909
01/10/2014,P84034,BARLOW MEDICAL CENTRE,251,1021.74,13424
01/10/2014,P84689,LONGSIGHT MEDICAL PRACTICE,93,423.59,4730
01/10/2014,P84009,AILSA CRAIG MEDICAL CENTRE,184,893.31,9342
01/10/2014,P84017,LADYBARN GROUP PRACTICE,220,763.35,10222
01/10/2014,P84018,MAULDETH MEDICAL CENTRE,134,293.36,6153
01/10/2014,P84022,KINGSWAY MEDICAL PRACTICE,127,406.89,5818
01/10/2014,P84676,OSWALD ROAD MEDICAL PRACTICE,98,720.96,4452
